image_id,class_id,x_center,y_center,width,height
CCTV01^20260318-110000-20260318-120000_000062.txt,0,0.274617,0.725167,0.032062,0.076556
CCTV01^20260318-110000-20260318-120000_000062.txt,2,0.376758,0.945028,0.056797,0.070028
CCTV01^20260318-110000-20260318-120000_000062.txt,3,0.526539,0.87166,0.059547,0.200486
CCTV01^20260318-110000-20260318-120000_000062.txt,3,0.69327,0.559861,0.079695,0.091194
CCTV01^20260318-110000-20260318-120000_000062.txt,3,0.695102,0.485764,0.046719,0.057
CCTV01^20260318-110000-20260318-120000_000062.txt,10,0.671742,0.323715,0.049469,0.097708
CCTV01^20260318-110000-20260318-120000_000062.txt,3,0.493105,0.409215,0.043977,0.053736
CCTV01^20260318-110000-20260318-120000_000062.txt,0,0.784422,0.563118,0.034812,0.078181
CCTV01^20260318-110000-20260318-120000_000062.txt,3,0.804117,0.747972,0.057719,0.105861
CCTV01^20260318-110000-20260318-120000_000062.txt,4,0.962145,0.629076,0.069617,0.115625
CCTV01^20260318-110000-20260318-120000_000062.txt,0,0.838473,0.490646,0.036648,0.053736
CCTV01^20260318-110000-20260318-120000_000062.txt,0,0.061164,0.74634,0.043062,0.070042
CCTV01^20260318-110000-20260318-120000_000062.txt,5,0.185305,0.935465,0.093422,0.129069
CCTV01^20260318-110000-20260318-120000_000062.txt,0,0.35523,0.408403,0.030227,0.045611
CCTV01^20260318-110000-20260318-120000_000063.txt,5,0.308055,0.650979,0.084281,0.107653
CCTV01^20260318-110000-20260318-120000_000063.txt,2,0.31309,0.7715,0.039398,0.101139
CCTV01^20260318-110000-20260318-120000_000063.txt,3,0.522418,0.872479,0.065961,0.195597
CCTV01^20260318-110000-20260318-120000_000063.txt,3,0.76427,0.764174,0.053133,0.151625
CCTV01^20260318-110000-20260318-120000_000063.txt,3,0.729914,0.648542,0.039391,0.102778
CCTV01^20260318-110000-20260318-120000_000063.txt,10,0.44959,0.367604,0.105352,0.094625
CCTV01^20260318-110000-20260318-120000_000063.txt,0,0.782086,0.657521,0.026656,0.058847
CCTV01^20260318-110000-20260318-120000_000063.txt,1,0.771598,0.588368,0.02382,0.076542
CCTV01^20260318-110000-20260318-120000_000063.txt,1,0.678152,0.462965,0.02382,0.063514
CCTV01^20260318-110000-20260318-120000_000063.txt,0,0.952066,0.686896,0.047633,0.100986
CCTV01^20260318-110000-20260318-120000_000063.txt,0,0.828395,0.522403,0.02932,0.074917
CCTV01^20260318-110000-20260318-120000_000063.txt,10,0.67907,0.355472,0.042141,0.115639
CCTV01^20260318-110000-20260318-120000_000063.txt,3,0.62502,0.313125,0.01832,0.066778
CCTV01^20260318-110000-20260318-120000_000064.txt,1,0.216902,0.916535,0.054055,0.107486
CCTV01^20260318-110000-20260318-120000_000064.txt,0,0.386379,0.934444,0.072367,0.078167
CCTV01^20260318-110000-20260318-120000_000064.txt,4,0.100555,0.704708,0.129172,0.110861
CCTV01^20260318-110000-20260318-120000_000064.txt,3,0.520762,0.872375,0.074195,0.184861
CCTV01^20260318-110000-20260318-120000_000064.txt,3,0.738582,0.941889,0.05618,0.116222
